Family,Child
F0001,I102460932706
F0142,I102460931897
F0176,I102460931685
F0199,I102460931903
F0204,I102460934243
F0204,I102460934245
F0212,I102460933504
F0214,I102460934208
F0216,I102460934206
F0217,I102460931686
F0230,I102460933395
F0234,I102460931900
F0236,I102460931105
F0243,I102460931276
F0246,I102460931155
F0254,I102460931892
F0254,I102460931893
F0254,I102460931894
F0264,I102460931885
F0264,I102460932612
F0276,I102460934239
F0280,I102460934102
F0282,I102460934097
F0282,I102460934098
F0284,I102460934810
F0284,I102460934811
F0284,I102460933522
F0286,I102460931909
F0288,I102460931934
F0288,I102460931933
F0288,I102460931930
F0288,I102460931936
F0288,I102460931932
F0288,I102460931931
F0288,I102460931937
F0288,I102460931935
F0291,I102460933433
F0298,I102460931813
F0329,I102460931907
F0330,I102460931906
F0331,I102460931910
F0389,I102460931392
F0395,I102460931153
F0399,I102460931814
F0416,I102460931887
F0416,I102460931886
F0417,I102460931888
F0417,I102460931889
F0417,I102460931890
F0418,I102460931792
F0420,I102460931793
F0429,I102460931173
F0479,I102460931391
F0485,I102460931176
F0486,I102460931176
F0533,I102460931118
F0534,I102460931119
F0535,I102460931123
F0536,I102460931122
F0537,I102460931121
F0540,I102460931120
F0542,I102460931125
F0544,I102460931124
F0545,I102460931127
F0547,I102460931103
F0547,I102460931106
F0547,I102460931107
F0549,I102460931105
F0549,I102460931111
F0549,I102460931667
F0549,I102460931112
F0551,I102460931102
F0552,I102460931799
F0552,I102460931797
F0552,I102460931798
F0552,I102460931117
F0552,I102460931113
F0553,I102460931109
F0553,I102460931283
F0553,I102460931286
F0553,I102460931284
F0553,I102460931285
F0554,I102460931282
F0554,I102460931277
F0555,I102460931108
F0555,I102460931789
F0556,I102460931824
F0556,I102460931826
F0556,I102460931821
F0556,I102460931820
F0556,I102460931823
F0556,I102460931825
F0556,I102460931114
F0572,I102460931669
F0572,I102460931104
F0572,I102460931671
F0575,I102460931172
F0576,I102460931174
F0577,I102460931670
F0577,I102460931170
F0581,I102460931811
F0581,I102460931805
F0581,I102460931803
F0581,I102460931116
F0581,I102460931801
F0581,I102460931807
F0581,I102460931806
F0581,I102460931810
F0581,I102460931800
F0581,I102460931804
F0581,I102460931802
F0581,I102460931808
F0581,I102460931809
F0581,I102460932447
F0581,I102460931812
F0582,I102460931154
F0583,I102460931131
F0584,I102460931795
F0584,I102460931796
F0584,I102460931895
F0584,I102460931896
F0584,I102460931794
F0584,I0000
F0587,I102460931914
F0587,I102460931912
F0587,I102460931913
F0587,I102460931924
F0594,I102460931129
F0595,I102460931128
F0596,I102460931130
F0599,I102460931110
F0602,I102460935370
F0602,I102460935371
F0602,I102460935372
F0602,I102460935369
F0602,I102460935348
F0605,I102460935350
F0606,I102460931254
F0607,I102460931257
F0609,I102460935349
F0610,I102460931259
F0657,I102460931287
F0657,I102460933844
F0662,I102460931290
F0662,I102460931292
F0662,I102460931291
F0666,I102460931684
F0666,I102460931682
F0666,I102460931679
F0666,I102460931681
F0666,I102460931680
F0666,I102460931678
F0666,I102460931171
F0666,I102460931683
F0672,I102460931281
F0672,I102460931279
F0672,I102460931280
F0711,I102460932613
F0713,I102460931178
F0714,I102460932704
F0715,I102460931294
F0718,I102460931295
F0732,I102460932718
F0744,I102460932488
F0744,I102460932490
F0744,I102460932491
F0744,I102460932492
F0746,I102460932417
F0747,I102460932425
F0748,I102460931904
F0750,I102460932437
F0752,I102460931898
F0755,I102460931891
F0757,I102460931884
F0764,I102460931288
F0765,I102460931289
F0769,I102460932202
F0776,I102460932347
F0777,I102460932256
F0779,I102460932247
F0779,I102460932255
F0780,I102460932252
F0787,I102460931115
F0907,I102460931126
F0991,I102460933834
F0992,I102460933406
F0994,I102460933419
F0997,I102460933404
F0998,I102460933407
F1003,I102460932705
F1016,I102460933521
F1018,I102460932719
F1019,I102460932736
F1020,I102460933520
F1048,I102460932734
F1095,I102460931786